target	regulator	var.exp.median
Celf3	Vsx2	0.9415453971394032
Nap1l3	Bhlha15	0.9358831353429
Gabbr1	Cdx4	0.9326237932628978
D2hgdh	Mafa	0.9290082649214793
Ackr3	Runx3	0.9327621707694967
Ptprm	Pou1f1	0.9351091768296916
Ythdf3	Pou2f1	0.9321572988099538
Tpd52l2	Evx1	0.9397004137564452
Sh3gl1	Dbx1	0.9319851542356108
Atp6ap1	Nr1h3	0.9356236561630088
Rusc1	Gli1	0.9269158256887984
Nmd3	Nr5a2	0.9299221194225576
Sh3gl1	Arid3b	0.927558500688322
Nfix	Sox5	0.9240062447054984
Rsrc1	Sebox	0.9205373590865086
Ncl	Hes2	0.9272233800165092
Cops8	Twist2	0.9240959792385768
Mtcl1	Elf3	0.9172896983419482
Rsrc1	Alx4	0.9199720661712786
Zfp704	Arid5b	0.929111518756962
Tex30	Hoxa13	0.9207371224579656
Nmd3	Gli1	0.9251428809807694
Khdrbs2	Vsx2	0.9186024003036336
Kdm5c	Hoxb4	0.9175822918827914
Tex30	Pdx1	0.9156380567218456
Sike1	Nkx3-2	0.9184976359834574
Sox4	Zic1	0.9100848294306229
Rsrc1	Prop1	0.8974225677957937
Dnajc19	Nfatc2	0.8740807596751299
Nmd3	Gli3	0.9062388028444108
Ttc14	Foxm1	0.9022930454508188
Sfr1	Plagl1	0.8966630751207214
Ncald	Tcf4	0.8935075151436691
Pgrmc2	Bach2	0.9008301070458792
Atrx	Nr2e3	0.8921987041814458
Tubb5	Tcf21	0.8920483405626347
Fabp5	Foxm1	0.8925260961595515
Tcea2	Nfe2	0.885903386317489
Uggt1	Relb	0.8844880794665662
Dlx5	Dlx2	0.8914743918438228
Pou3f3	Bbx	0.8699396678330145
Khdrbs2	Prrx2	0.8859280030444341
Ptprs	Neurod2	0.8737934978187359
Nolc1	Mlxip	0.880926381306092
Ilkap	Yy1	0.8753899666506549
Zfx	Yy1	0.8907866273445091
Pcmtd1	Cebpb	0.8752994307056768
Eif2s3y	Mef2a	0.8764729384743559
Ttc14	Sry	0.8793932910780937
Pde1a	Egr2	0.8756484845687973
Etfdh	Nr2c2	0.8762808615918665
Tubb5	Tfap4	0.871392743381467
Ogfr	Terf2	0.9209151866712216
Pcmtd1	Ctcf	0.8673941208515499
Riok3	Alx4	0.8759217866712303
Lonrf2	Phf21a	0.8689206743811445
D2hgdh	Hlf	0.8685395233527105
Ndufa11	Nr1h2	0.8612755847353546
Spats2l	Pknox1	0.8611207628982908
Etfdh	Ppara	0.8668496428504044
Mtcl1	Etv2	0.8671763292251138
Ilf2	Nanog	0.8635448921517226
Krtcap2	Prrx2	0.8715241932016978
Cdk16	Rxrg	0.8723293120001958
Mrpl43	Hand1	0.885993173107432
Nap1l3	Nhlh1	0.8570944727171717
Ndufb5	Aire	0.9037322807381172
Pam	Foxp2	0.8483250912994604
Cdc42se1	Dlx5	0.8538083090182556
Pam	Foxo1	0.848689728247309
Nmd3	Sox2	0.8517449705386868
Tceal8	Hoxc6	0.8564250926840034
Khdrbs2	Pax7	0.8480439386231869
Npy	Egr2	0.8467592040167888
Nolc1	Figla	0.8473009431711672
Ptprs	Mlxip	0.8459186603227414
Etfdh	Nr4a2	0.8487773462660528
Rab39b	Phf21a	0.8580212985500575
D2hgdh	Pou3f2	0.8466496265856074
Nap1l3	Ptf1a	0.8421215322679882
Csf2ra	Atf3	0.8512848000548191
Lonrf2	Pou3f2	0.8445991872514442
Gabbr1	Evx1	0.83305167270909
Ncl	Arntl	0.8370024129309132
Nap1l3	Myog	0.8372181703312503
Cops8	Zscan4c	0.8402856185066718
Wac	Esr2	0.8362459887079609
Rps14	Pou3f1	0.8288889446762733
Cdc42ep3	Prrx2	0.8386320343544464
Ogfr	Fos	0.8888838777897808
Sh3gl1	Hoxb7	0.8345688073779336
Rsrc1	Arx	0.8280369112996837
Etfdh	Rorc	0.8267039140575914
Nolc1	Max	0.8242447710665952
Ssr3	A1JVI6_MOUSE	0.8293356442163189
Pgrmc1	Zkscan1	0.8460808364828042
Ccdc120	Grhl2	0.8372697734456324
Cdk16	Esrrb	0.8516853431583421
Rps3	Pou3f1	0.8126700956946751
Nmd3	Foxj3	0.8309645683958222
Stau2	Smad4	0.8211687703871565
Bex2	Hoxa1	0.8410568116425889
Sox2	Tlx2	0.8169736490254998
Btrc	Maf	0.8545095528120162
Cdk16	Otx2	0.8131553245901757
Mrpl14	Plagl1	0.8162345442487906
Ptprm	Pou3f1	0.8193570095346338
Rpl13a	Pou3f1	0.811991466092455
Pou3f3	Hoxa1	0.8108136912726579
Atat1	Ppara	0.825724522397542
Zfp931	Foxi1	0.8102190865407988
Rab33a	Pbx3	0.8045204136618551
Gigyf2	Nfatc2	0.7986667962461268
Ackr3	Hoxb8	0.8107663830449319
Tmem178	Lef1	0.8335589968451311
Rpl32	Pou3f1	0.8912049781549818
Slc25a5	Nr4a2	0.8046177286121888
Rps11	Pou3f1	0.8014273112940253
Dclk2	Hoxb8	0.8035410115721107
Rps9	Pou3f1	0.8151025073204594
Gdi1	Ikzf1	0.7955205904924735
Cox7b	Usf1	0.7894437127902902
Rps26	Pou3f1	0.7971269677636833
Etfdh	Neurog2	0.7890697834399283
Dkc1	Prdm9	0.7898354208280414
Erbb4	Rel	0.7883616982919023
Wac	Glis2	0.7948811272141325
Ythdf3	Atf1	0.7819475754822828
Prkce	Zfp410	0.7953937927330297
Pkia	Foxo1	0.8025179487374694
Tex30	Cebpa	0.7862292246988828
Tcea2	Hand1	0.7848568222521736
Tex30	Cebpe	0.7865202760522599
Zfx	Gli2	0.7925821659637065
Clk1	Foxp2	0.7713294926257035
Rps15	Pou3f1	0.7558324840351256
Ilf2	Uncx	0.7738111389139183
Zfx	Atf1	0.8091787011346283
Sept2	XP_006525770.1	0.7817000438123451
Dkc1	Maf	0.7735856895167345
Rps5	Pou3f1	0.7691684137722208
Dkc1	Bhlha15	0.7742740209500286
D2hgdh	Dbp	0.77796674069959
March1	Maff	0.7709669625716851
Pgrmc1	Tcf7l2	0.7714904016572218
Ythdf3	Gfi1b	0.7730509236231962
Ldb1	Figla	0.7818006984009476
Nolc1	Mycn	0.7737627331908826
Rps3a1	Zbtb33	0.8718276310488043
Ccdc120	Rora	0.7860089888236828
Tubb5	Atoh1	0.7767871487381961
Arx	Ppara	0.7820033672898369
Gid8	Sp7	0.7660269779590985
Ldb1	Mlxip	0.7689771486931165
Rpl4	Pou3f1	0.7604457219515355
Mfng	Sox5	0.8063325377913539
Gda	Maz	0.7539892892958943
Ssr3	Grhl2	0.7688666134221553
