target	regulator	var.exp.median
Zeb1	Klf9	0.9993081898810589
Erbb4	Barhl2	0.9988980200647192
Frmpd4	Hmx2	0.9850659349981788
Cntnap5c	Hoxc12	0.9781790647090712
Gria3	Sox13	0.9819611561117396
Pcdh17	Bcl6b	0.9638132391830021
Gm20754	Prdm11	0.9798669714752456
Malat1	Pgr	0.9159391034854636
4930509J09Rik	Prdm11	0.8842433699811598
Usp29	Irf2	0.8867538451457673
Cntnap5a	Six6	0.8884586542938773
Pcdh11x	Cux2	0.897319243543895
Tmem178	Hoxa4	0.9163274304830202
Cdkl5	Tef	0.9056999244927328
Celf4	Prdm11	0.8425152230138011
A330015K06Rik	Lhx9	0.9103886303495708
Tenm1	Zkscan5	0.8645269018641546
Kcnip4	Rel	0.9321851028019172
Efna5	Hoxd11	0.8380210429632793
Rbfox1	Nfia	0.8124253457695086
9630013A20Rik	Bcl6b	0.8233047248683726
Plcb1	Esrrg	0.8130328058176373
Zfp385b	Evx2	0.7947769546347441
Stradb	Gmeb1	0.7692962607608274
Lgi1	Pitx3	0.739609273550871
Mef2c	Hoxb4	0.7348652069153563
Gria2	Irx3	0.7306459641487926
Fstl5	Dbx1	0.7211272266085518
Cemip	Tef	0.7398923830876566
Gria3	Sox30	0.7103221711262024
Pcdh7	Ets1	0.7399715009911578
Bche	Prdm11	0.7385656164173229
Nrg3	Cic	0.833786136233355
Cntnap2	Hsf1	0.7061479205543372
Ankrd12	Mybl2	0.7478412044393421
Edil3	Nanog	0.7044229387816519
Il1rapl1	Prrx1	0.6973975056327477
Ptprd	Irf2	0.692745816525051
Galnt13	Irf9	0.8406791066293375
Shtn1	Hoxa3	0.7602736827362031
Rab27b	Bhlha15	0.724850161968262
Ranbp17	Myog	0.6929282836441604
Banf2	Zbtb14	0.7244537004649044
Kcnj3	Cux2	0.7329828267664683
Usp46	Zic3	0.7253386641271686
Nrg3	Mafa	0.8433939981469899
Crtac1	Rhox6	0.6838641452573565
Lrp1b	Elf3	0.6649943667451244
Grik3	Rfx1	0.7958084957842686
Ppfia2	E2f5	0.6438153344278017
Pcdh9	Dmrt1	0.6822984120176279
Kcnh7	Zic3	0.675749484959891
Tenm2	Zbtb14	0.6710287027797921
Chsy3	Sp2	0.6549261439809564
Rora	Tcf7	0.6860184593001755
Prkce	Rhox6	0.7421919321004713
Mical2	Aire	0.6873684840905557
Lgr5	Sp2	0.6585748518764853
Syt17	Sox13	0.681747119446771
Esr1	Irf2	0.6665578140459161
Sema5a	Pax7	0.6474135020945233
Tenm2	Hes5	0.6766809144482657
Col19a1	Hnf1a	0.8075625036993708
Cntn6	Hnf1a	0.7798498285545098
Ildr2	Irf2	0.6330667030924255
Ints6l	Onecut1	0.6461543909993741
St3gal6	Msgn1	0.6200881361075188
Srrm4	Hoxc12	0.6409534275481046
Pdk3	Shox2	0.5963422839012172
Adgrl3	Prdm9	0.6126248746584868
Malat1	Rbpjl	0.6247048646208193
Cemip	Pou6f1	0.6001530815478534
Malat1	Rbpj	0.6138759650766057
Khsrp	Pou3f3	0.8032100105102802
St6galnac5	Mbd2	0.6015915130701601
Sntg1	Vsx2	0.5999655788461531
Gm13919	Prdm9	0.5937229833027939
Syt1	Klf1	0.5796265516284972
Pigk	Mbd2	0.5930729196244244
Ralyl	Sox1	0.6091323006261931
Pde10a	Tbx3	0.6153468464555304
Lsamp	Zfp740	0.5744674777791159
A830018L16Rik	E2f7	0.6647354675718465
Nlgn1	Hoxd13	0.7872642047130024
Banf2	Hes5	0.5968256196050198
Gm43713	Pou3f3	0.7150604527734169
Plcb1	Atf3	0.5558424450890218
Dscam	Hoxb4	0.5525447540114905
9330182L06Rik	Tfap2e	0.7318291937899286
Pex5l	Creb5	0.6024145451776804
1700027H10Rik	Cebpg	0.5958624894545828
Syt2	Onecut1	0.5633554364922729
Tmcc3	Rfx1	0.5620436276066373
Zfp57	Sox30	0.6015090456210201
