target	regulator	var.exp.median
Zeb1	Klf9	0.9993081898810589
Erbb4	Barhl2	0.9988980200647192
Frmpd4	Hmx2	0.9850659349981788
Cntnap5c	Hoxc12	0.9781790647090712
Kcnq5	Cdx1	0.9819548264930259
Gria3	Sox13	0.9819611561117396
Galntl6	Foxp1	0.9685799255512288
Lrrtm4	Foxc2	0.9638442992269486
Pcdh17	Bcl6b	0.9638132391830021
Lrrc4c	Nkx2-4	0.9314592617639652
Adgrb3	Sox12	0.9624479412963424
Gm20754	Prdm11	0.9798669714752456
Glce	Esrrg	0.9235766898949932
Cntn5	Foxd3	0.918274605935418
Malat1	Pgr	0.9159391034854636
Luzp2	Sox9	0.9559335398272945
4930509J09Rik	Prdm11	0.8842433699811598
Usp29	Irf2	0.8867538451457673
Cntnap5a	Six6	0.8884586542938773
Pcdh11x	Cux2	0.897319243543895
Gm26905	Foxp1	0.95326759168592
Tmem178	Hoxa4	0.9163274304830202
Sh3d19	Zfp57	0.916720785930032
Ndufs1	Six3	0.8705330627712501
Fam19a2	Hmx2	0.9128249208026756
Sorcs3	Irf2	0.8906349896777492
Kcnab1	Lhx9	0.9094825187152544
Cdkl5	Tef	0.9056999244927328
Tbc1d12	Zscan20	0.8498657950908335
Celf4	Prdm11	0.8425152230138011
Ptpro	EDL38120.1	0.8454447587651124
A330015K06Rik	Lhx9	0.9103886303495708
Tenm1	Zkscan5	0.8645269018641546
Kcnip4	Rel	0.9321851028019172
Efna5	Hoxd11	0.8380210429632793
4930445B16Rik	Nkx2-4	0.8460841614429357
Erbb4	Barhl1	0.8126810100807519
Il1rapl1	Emx2	0.8779619987569747
Maml3	Irf2	0.8380747097299532
Rbfox1	Nfia	0.8124253457695086
Cntnap5b	Sebox	0.7880981814059802
Stmn2	Prdm11	0.8266832297146133
Ptprm	Arid3b	0.8013717491023883
9630013A20Rik	Bcl6b	0.8233047248683726
Plcb1	Esrrg	0.8130328058176373
Galntl6	Elf2	0.7951920845519977
Sorbs1	Dmbx1	0.7959581899688767
Zfp385b	Evx2	0.7947769546347441
Gm12027	Esrrg	0.9432230939474644
Nr4a2	Pou2f1	0.7820478270913057
Ikzf2	Esrra	0.7711292065194288
Sncaip	Trp63	0.7803139710819491
Lmo3	Foxp1	0.7907696094592536
Gm20647	Prdm11	0.7532271554010124
Arpp21	Irf2	0.7636344274140188
Adgrl3	Gata1	0.7469111904481496
Stradb	Gmeb1	0.7692962607608274
Dpp10	Bcl6	0.8536438868855746
Glce	Cebpa	0.7425088904544723
Tmem132b	Rfx1	0.8123732278460954
Lgi1	Pitx3	0.739609273550871
Zfp804b	Foxo4	0.7372728845250243
Il1rap	Dbx1	0.7820144299856131
Mef2c	Hoxb4	0.7348652069153563
Ryr2	Foxp1	0.7338007319656377
Gria2	Irx3	0.7306459641487926
Fstl5	Dbx1	0.7211272266085518
Cdh12	Gata4	0.7104140402750853
Pcdh9	Zfp652	0.7228950836234441
Cdh9	Tbx3	0.8291967028926472
Kcnma1	Grhl2	0.7099332680106228
Cemip	Tef	0.7398923830876566
Prr16	Gata4	0.7243356190337318
Gm12027	Zbtb17	0.7147278505127967
Gria3	Sox30	0.7103221711262024
Pcdh7	Ets1	0.7399715009911578
Bche	Prdm11	0.7385656164173229
Syt2	Tcf4	0.7207504545110728
Nrg3	Cic	0.833786136233355
Oxr1	Myog	0.7277174771197287
Clec18a	Irf2	0.8282823734656906
Sh3rf3	Evx2	0.7541137054947187
Cntnap2	Hsf1	0.7061479205543372
Ankrd12	Mybl2	0.7478412044393421
Ldb2	Irf2	0.7485466514754692
Edil3	Nanog	0.7044229387816519
Kcnd2	Glis2	0.6986439409450103
Chrm3	Bhlha15	0.6959105911554075
Il1rapl1	Prrx1	0.6973975056327477
Ptprd	Irf2	0.692745816525051
Galnt13	Irf9	0.8406791066293375
Lnx1	Foxl1	0.6913086423621787
Shtn1	Hoxa3	0.7602736827362031
