target	regulator	var.exp.median
Gabbr1	Maff	0.9368726743933145
Ilf2	Nanog	0.9283024581757184
Gabbr1	Evx1	0.9333404112041914
Satb1	Rora	0.9425880303581388
Mpnd	Dlx5	0.9273724591838396
Atp6ap1	Nr1h3	0.9286095538056808
Nfix	Sox5	0.9240062447054984
Zfx	Zfp42	0.9236247548926886
Pam	Alx4	0.9219307688657244
Lancl3	Esrrb	0.918032672361938
Celf3	Vsx2	0.9145927650680451
Il1rapl1	Alx4	0.9095379604905056
Gpm6b	Olig3	0.9071662501828814
Rsrc1	Alx1	0.9145314072750366
Suv39h1	Pbx1	0.9034573109485298
Zcchc12	Hoxd13	0.9111045185037268
Cops8	Zscan4c	0.9091478144856682
Suv39h1	Pknox1	0.8965845892197222
Ptma	Hes2	0.9007521047032974
Rsrc1	Arx	0.8978938224671911
Rsrc1	Alx4	0.9025899588180232
Ilkap	Yy1	0.9037734885549276
Ankrd50	Dmrtc2	0.8970303111427438
Rusc1	Hoxa1	0.8967434305000307
Idh1	Prrx2	0.9185041687344112
Ssr3	Meis1	0.8849711293410369
Npy	E2f6	0.8876608673014754
Slc25a5	Nr4a2	0.8888594987318575
Btrc	Maf	0.8820248978219334
Smarca2	Mef2a	0.8997084596854044
Lancl3	Myog	0.8834748210237818
Pam	Rel	0.8818440496841597
Cox5b	Gabpa	0.8849016461286066
Rsrc1	Sebox	0.8795736403989899
Dlx5	Dlx2	0.8914743918438228
Cops8	Twist2	0.8823080086461315
D2hgdh	Hlf	0.8763103158388191
Riok3	Alx4	0.9079282377384816
Nolc1	Mlxip	0.8745195185366792
Atrx	Nr2e3	0.8720574517677481
Sfr1	Plagl1	0.8879096453996416
Lonrf2	Pou3f2	0.8685213032516967
Arx	Msgn1	0.8721221334616838
Tceal1	Tfe3	0.8729595561526877
Calm2	Mybl1	0.9094780446748291
Celf3	Esx1	0.8747829227344928
Nap1l3	Bhlha15	0.8699460149721305
Fbxw7	Spz1	0.8731546372798038
Kdm5c	Hnf1b	0.8641392669718253
Mllt11	Terf2	0.8657805826685905
Rps3	Pou3f1	0.9050747862896696
D2hgdh	Pou3f2	0.8754119881727507
Tex30	Pdx1	0.8642820244052398
Lonrf2	Phf21a	0.8683043631601925
Lancl3	Prdm1	0.8595419341751801
Sh3gl1	Nkx6-1	0.8666619604243871
Tex30	Hoxa13	0.8605517102099671
Kdm5c	Foxa2	0.859794199811821
Vps4b	Sry	0.8644214525147847
Clk1	Foxk1	0.8471901637058569
Il1rapl1	Nfil3	0.8543319406497143
Lancl3	Rarg	0.8600196668648914
Ncald	Tcf4	0.8967715894989051
Csf2ra	Atf3	0.8662235271670972
Ncl	Arntl	0.8538494152181476
Uggt1	Batf3	0.8622249530515423
Tmem29	Sp7	0.8542405885376427
Lancl3	Esrrg	0.8540879498108472
Krtcap2	Hnf4g	0.8486660667992694
Ptprt	E2f3	0.8641501754248613
Ttc14	Foxd3	0.8533741406506177
Rusc1	Nfatc2	0.8498799047221779
Rpl22l1	Gbx1	0.8624404478226305
Pcmtd2	Nkx2-2	0.8447842310944118
Ogfr	Fos	0.8742121633808053
Ralbp1	Grhl2	0.8622618258958392
Il1rapl1	Pbx2	0.8455658839964061
Btrc	Maff	0.8466737049303773
Epha4	Fosb	0.8444093857025012
Stmn3	Nfe2	0.8486387120374219
Morf4l2	Cebpa	0.8399667513326198
Riok3	Gm5294	0.8663378563564981
Gria2	Sox1	0.836026750819824
Il1rapl1	Rbpj	0.8322110138452428
Celf3	Lhx2	0.8293515322202851
Ogfr	Terf2	0.8494934553555461
Lancl3	Esrra	0.8344466561451683
Nolc1	Max	0.8342479227981339
Nolc1	Figla	0.837959549426253
Lancl3	Nr5a2	0.8397714184834885
Clk1	Foxo3	0.8410414361739962
Rsrc1	Prrx2	0.832413817824885
Rps9	Pou3f1	0.8422931048139726
Tubb5	Atoh1	0.8327204507448362
Ina	Epas1	0.8320371979370234
Clk1	Foxp2	0.8323104901447228
Pou3f3	Bbx	0.8384001027568462
Fgf13	Zbtb7b	0.8332712720742003
Npy	Sall4	0.8282638288721973
Maged1	Zfp932	0.823249164221558
Mrpl14	Plagl1	0.8247780820024893
Clasp1	Sp7	0.8265214212231864
Tubb5	Tcf21	0.8247399170987685
D2hgdh	Esr1	0.8288630283386356
Lancl3	Irf2	0.8137114460149745
Ptprs	Neurod2	0.8214913823502534
Mfng	Sox5	0.8201075596190073
Syt5	Sall4	0.8975787851802615
Ndufv2	Terf2	0.8372662858969011
Sept2	XP_006525770.1	0.8367917662818332
Rps11	Pou3f1	0.9074570094472866
Chuk	Nr1d1	0.8674715973478522
Riok3	Hoxd9	0.8252305825363706
Fgf13	Zic5	0.8215015677333379
Pam	Foxo3	0.8156617524910055
Lancl3	Zfp281	0.8194373527246065
Mrpl43	Hand1	0.8151895318494541
Ssr4	Zfp932	0.8250353103459707
Bend6	Nfe2	0.8558772796945259
